"","ENSEML_ID.biotype.symbol","X553C2","X3113C4","iPS1_dup","X690C5","iPS1","iPSC6","iPSC2_dup","iPSC2","iPSC5","X22q1115","X22q1115_dup","X1220C2","X1804","X22q1110C5","X22q1130","X22q1130_dup","X22q1160","X537","X1275C9","FoldChange","p.value"
"12949","ENSG00000206503.7|protein_coding|HLA-A",11.8555,20.7434,11.9005,16.4019,8.46776,11.1289,19.4976,13.0515,8.89927,17.8601,12.62,17.8356,14.1974,33.9553,39.6828,21.7607,31.7914,21.2818,17.2367,1.68434441610502,0.0131314542963378
"12983","ENSG00000211455.3|protein_coding|STK38L",15.4966,15.2165,19.3379,13.1935,17.5431,17.3951,15.8137,7.49709,15.9065,15.0432,21.3605,23.8997,17.7426,11.6362,15.0765,27.8214,28.5087,19.4363,18.4505,1.30333371931104,0.0421873170416606
"13060","ENSG00000213619.5|protein_coding|NDUFS3",73.7914,64.8588,66.2583,76.9179,77.7549,64.281,64.1575,81.1892,65.0394,69.4588,73.0697,61.3223,60.325,70.009,67.5282,53.7641,56.2729,65.9147,60.3782,0.905384404596054,0.0432621215017963
"13153","ENSG00000214941.3|protein_coding|ZSWIM7",21.4482,20.9393,24.9401,19.5751,19.2933,15.091,18.9736,16.991,20.2843,24.0104,24.2885,28.9365,20.8773,21.6869,27.0201,20.097,16.7287,23.4413,22.7899,1.16533579968896,0.0365039125067245
"13156","ENSG00000215012.4|protein_coding|C22orf29",6.74762,5.20351,7.51971,6.15399,8.29147,6.56743,6.62894,8.14077,6.50554,2.85554,3.05623,2.7255,2.84665,2.91876,4.75296,4.08355,3.87137,2.35678,3.90609,0.486343637799718,2.84803677732752e-07
"13165","ENSG00000215193.7|protein_coding|PEX26",24.3989,19.7328,14.1371,17.3625,15.2125,17.0676,19.046,22.2377,17.2674,16.8132,14.7412,12.648,17.0358,18.8422,13.7189,10.351,12.7236,18.2818,17.2316,0.823900698355486,0.0342114006671962
"13175","ENSG00000215301.5|protein_coding|DDX3X",88.3412,85.0367,100.295,81.6472,84.975,79.0049,93.0286,93.8389,79.4452,87.0986,90.7502,126.718,125.845,99.5795,128.591,113.683,90.8237,90.8826,83.8585,1.18894092470756,0.0205021779802582
"13215","ENSG00000219438.4|protein_coding|FAM19A5",17.0957,29.6464,11.4345,20.9412,10.9825,15.9454,21.4618,20.8347,27.0145,4.05245,8.52115,13.3673,20.7764,15.7128,15.245,12.0158,6.62436,12.2703,24.4507,0.682794749216882,0.0472696577461025
"13302","ENSG00000224020.1|antisense|MIR181A2HG",3.93899,0.960065,2.92125,1.9121,3.92795,2.87784,1.14449,2.31644,2.0224,5.31854,5.25641,4.71323,2.61901,4.86725,1.90012,2.74112,3.12834,4.06956,2.14696,1.50237033992877,0.0390303652285169
"13314","ENSG00000224165.1|antisense|DNAJC27-AS1",3.00536,1.79158,3.49421,2.15104,2.48819,1.47052,1.79157,3.42823,1.46777,1.19929,1.74865,0.806499,1.38564,1.15857,1.53895,0.982445,1.8377,2.24428,1.91718,0.632444345180091,0.0145393696303082
"13324","ENSG00000224470.2|protein_coding|ATXN1L",8.55505,9.08744,11.0367,9.0626,10.9475,11.2466,8.90169,9.12665,8.42554,9.01492,12.5581,12.0879,9.93725,10.8842,14.2473,13.9602,13.6761,8.29666,10.3769,1.19847033971731,0.0265439659726609
