GPR137B	hsa:7107
TMF1	hsa:7110
TNNC2	hsa:7125
TNC	hsa:7134
TNNI1	hsa:7135
TNNT2	hsa:7139
TNS1	hsa:7145
TPD52L1	hsa:7164
TPM2	hsa:7169
C4A	hsa:720
TSNAX	hsa:7257
TTR	hsa:7276
TUBB	hsa:7280
ANXA8	hsa:728113
ANXA8L1	hsa:728113
D2HGDH	hsa:728294
SERF1B	hsa:728492
ZNF736	hsa:728927
AGAP5	hsa:729092
TWIST1	hsa:7291
TBC1D3L	hsa:729873
SHISA9	hsa:729993
COL14A1	hsa:7373
USP1	hsa:7398
UTRN	hsa:7402
VARS2	hsa:7407
VCAM1	hsa:7412
VGF	hsa:7425
VIL1	hsa:7429
MPPED2	hsa:744
VSNL1	hsa:7447
VTN	hsa:7448
MYRF	hsa:745
WNT5A	hsa:7474
WNT7B	hsa:7477
WNT8B	hsa:7479
WNT11	hsa:7481
WRN	hsa:7486
XRCC3	hsa:7517
YES1	hsa:7525
YWHAG	hsa:7532
ZIC2	hsa:7546
MPPED1	hsa:758
AFP	hsa:7726
CACNA1A	hsa:773
DDR1	hsa:780
PAX8	hsa:7849
CXCR4	hsa:7852
SCG2	hsa:7857
SEMA3B	hsa:7869
KCNAB1	hsa:7881
GDAP1L1	hsa:78997
SLX1B	hsa:79008
AHNAK	hsa:79026
TSEN34	hsa:79042
TMEM109	hsa:79073
MBOAT7	hsa:79143
PRRC2A	hsa:7916
TMEM243	hsa:79161
LENG1	hsa:79165
DDX39B	hsa:7919
IRX3	hsa:79191
ABHD16A	hsa:7920
NAA16	hsa:79612
C1orf54	hsa:79630
FAT4	hsa:79633
CENPU	hsa:79682
LIN28A	hsa:79727
ZNF385D	hsa:79750
ASB13	hsa:79754
ZFHX4	hsa:79776
ARHGAP28	hsa:79822
EFCC1	hsa:79825
MAP9	hsa:79884
RPP21	hsa:79897
PRR5L	hsa:79899
SCD5	hsa:79966
ATAT1	hsa:79969
SVEP1	hsa:79987
CALD1	hsa:800
GREB1L	hsa:80000
MYO15B	hsa:80022
PIF1	hsa:80119
NR4A3	hsa:8013
ZNF703	hsa:80139
PGGHG	hsa:80162
TEDC2	hsa:80178
PREX2	hsa:80243
SPHKAP	hsa:80309
ADAM33	hsa:80332
ITIH5	hsa:80760
HMGA2	hsa:8091
PTDSS2	hsa:81490
CAMK2A	hsa:815
GDPD5	hsa:81544
STMN4	hsa:81551
COL21A1	hsa:81578
CAMK2B	hsa:816
LBH	hsa:81606
ANP32E	hsa:81611
KAZALD1	hsa:81621
NETO1	hsa:81832
DPF1	hsa:8193
GATD3A	hsa:8209
HES1	hsa:8209
CAPN6	hsa:827
TKTL1	hsa:8277
AXIN2	hsa:8313
CDC7	hsa:8317
CDC45	hsa:8318
FZD6	hsa:8323
FZD7	hsa:8324
PCDH11Y	hsa:83259
CDCA3	hsa:83461
MXD3	hsa:83463
