GH10J004724	JUND||ATF2||CEBPA||CEBPB||FEZF1||ZNF639||ZNF217||EP300||MBD2||FOXA2||CTBP1||SAP130||CUX1||ZNF843||FOSL2||PRDM6||GATA3||TCF7L2||SOX5||ZNF2||ZNF189||SMARCE1||INSM2||ZNF24||FOXA1||ZNF362||DPF2||ZBTB21||NCOA3||SP7||ZFP69B||JUN||ARID3A||CREB1||ZNF366||NFIL3||GATAD2B||ZNF324||ZEB2||ZNF629||ZNF692||FOS||RFX1||ZNF558||ATF7||FOXA3||SIN3A||TEAD1||HIC1||ZNF184
GH10J004497	JUND||CREB1||POLR2A||EP300
GH10J004731	CEBPA||ZNF217||CEBPB||CTBP1||RARA||GABPB1||FOSL2||SIN3A||JUND||SMARCE1||FOXA1||MAZ||DPF2||ZNF652||NR2F6||ZC3H11A||RFX5||YBX1||NR2F1||ZNF687||HSF1||MNT||ZHX2||ZNF24||FOS||RFX1||ESRRA||RAD21||EP300||USF2||ATF7||SOX13||ZNF579||TARDBP||GABPA||GTF2F1||BMI1||CHD1||RCOR1||GATAD2B||ELK1
GH10J003238	ZNF654||CTCF||REST||TRIM22||HES1||RAD21||PAX8||NONO||SMC3||MLLT1||YY1||ESRRA||MBD1||ZNF2||ZNF189||ZNF8||ZFP37||SCRT1||ZBTB33||RFX1||ZNF143||SP7||NCOA3||CREB1||BCL6B||ZSCAN4||ZNF687||SUZ12||ZEB2||ARID2||XRCC5||CDC5L||ZNF239||TCF12||ZNF207||POLR2A||ZNF512B||RUNX3||RB1||BMI1||ZNF501||ZKSCAN1||MNT||RNF2||NR2F2||CC2D1A||PRDM1||GATAD2B||FOXK2||ZNF444
GH10J004330	
GH10J004329	
GH10J003242	
GH10J004736	ZNF217
GH10J004502	
GH10J004135	BCLAF1||EBF1||BATF||ATF2||ZNF217||IKZF1||TBL1XR1||MTA2||IKZF2||RUNX3||ETV6||RELB||MAZ
GH10J003430	EGR2
GH10J004215	ATF2
GH10J003350	NFIC||NFIB||RAD21||POLR2A
GH10J003353	
GH10J004077	
GH10J004080	ZNF512
GH10J004078	
GH10J004740	JUND
GH10J004509	
GH10J004331	JUND
GH10J003237	PKNOX1
GH10J003239	
