GH04J008469	ZIC2||CTCF||L3MBTL2
GH04J008493	
GH04J008391	CEBPG||CEBPB
GH04J008383	ATF2||NFIC||ZIC2||REST||BHLHE40||MNT||RAD51||RXRA||RARA||THRB||GLI4||BATF||NCOA1||IKZF1||NR2F1||NR2F6||ZBTB21||CREM||CREB1||NR2C1||ZNF687||ATF1||ATF3||ZNF629||CBFA2T2||ESRRA||USF2||ZBTB33||GLIS2||TRIM24||BCL11A||ATF7||USF1||ZFHX2||SCRT2||THRA
GH04J008380	POLR2A
GH04J008378	
GH04J008376	ZIC2||EP300
GH04J008504	ZIC2
GH04J008501	
GH04J008528	BATF||RFX1||FOS
GH04J008351	ZIC2||ETS1||ZFP64||EP300||YY1||HHEX||CAVIN1||NR2F1||RFX1||TOE1||TCF12||SP1||TEAD2||POU5F1||POLR2A||PTTG1||MNT||TCF7||FOS||MTA2||ZBTB33||SOX13||DPF2||NR4A1||USF1||RELB||PRDM1
GH04J008525	ZIC2||ATF4||GLIS1||CEBPB||ATF3||EGR2||NR2F2||ZFHX2||CEBPG
GH04J008509	CBX1||ZMYM3||BCOR
GH04J008514	ZNF316||NFE2||JUND||MAFG||RFX5||ATF3||FOS||EMSY
GH04J008512	ZNF316||MAFK||L3MBTL2||TRIM24||TRIM28||MNT||MGA
GH04J008531	JUND||ATF3||NFIC||POLR2A||CEBPB||SIN3A||ZNF217||IRF2||MBD2||CTBP1||PRDM1||RXRA||IRF4||EBF1||FOSL2||PRDM10||BHLHE40||CTCF||SMARCE1||ETV1||BATF||MAZ||TAF1||IKZF1||NRF1||NR2F1||ATF4||DPF2||JUNB||TCF12||SP1||NFIA||CREB1||MNT||ZNF687||FOS||RAD51||SOX6||RUNX3||USF1||RELB||EP300||GATAD2B||SMARCA4||CEBPG
GH04J008546	MYC||NCOR1||IKZF1||ZNF592||ZIC2||REST||CTCF||ARNT||NBN||RAD21||SMC3||ELF1||YY1||ZNF316||NFE2||SKIL||ZFP91||PTBP1||PRDM10||CBX1||ETV1||HDAC2||MAFK||EP400||FOXA1||MAZ||MAFG||ZEB2||ZBTB33||NRF1||RLF||NR2F6||TEAD4||ZNF143||MAFF||NCOA3||ZBTB40||L3MBTL2||MEIS2||ZMYM3||HDAC1||DPF2||ARID1B||PHF20||GMEB1||CREB1||NR2C1||KLF1||GABPB1||CUX1||SMARCE1||ATF1||MNT||KDM1A||ATF3||DACH1||LEF1||ZNF24||GTF2F1||FOS||RNF2||EP300||CTBP1||HDGF||SOX6||NFRKB||ATF2||ZNF579||PKNOX1||TRIM22||MTA3||BCOR||ATF7||CBX3||CC2D1A||BRD9||HMBOX1||EGR1||SMARCA5||SCRT2||NR2F1||SMARCA4||MGA||EMSY||XRCC5||ZNF444
GH04J008557	
GH04J008556	CEBPA||TEAD2||CEBPB
GH04J008544	ZNF623||ZMYM3||BCOR||KDM1A
GH04J007821	NCOR1||ZNF600||ATF3||ZIC2||CEBPB||ZFP64||MAFF||SMAD4||SAP130||TAL1||RARA||TEAD3||ZNF843||SIN3A||JUND||SKIL||MAFK||PRDM6||BCL6||ATF1||SPI1||MYC||ETV1||FOXM1||MAX||BATF||HMG20A||ZNF384||TCF12||ZNF362||ATF4||TEAD4||ATF2||JUNB||GLIS1||ELF3||ZNF398||L3MBTL2||PRDM4||SP1||MEIS2||GATA2||TRIM28||DPF2||ARID1B||CREM||HNF1A||ZNF366||NFIL3||POLR2A||TBL1XR1||ZEB2||MNT||ZNF629||EGR2||OSR2||KLF16||PATZ1||CHD2||ZBTB17||SOX6||GLIS2||ATF7||SOX13||RNF2||ZNF707||EP300||RUNX3||ZNF501||MEF2D||FOS||ZFHX2||YY1||CBFA2T3||EGR1||HIC1||NR2F2||SMARCA4
GH04J007820	CTCF
