ACTL6B	hsa:51412
SCARA3	hsa:51435
EVL	hsa:51466
ISYNA1	hsa:51477
ANKFY1	hsa:51479
TRIAP1	hsa:51499
TRMT112	hsa:51504
PDE1B	hsa:5153
PDGFB	hsa:5155
PDGFRA	hsa:5156
HDAC7	hsa:51564
PDGFRB	hsa:5159
HMP19	hsa:51617
ENPP2	hsa:5168
CYB5R1	hsa:51706
SYT17	hsa:51760
MST4	hsa:51765
PER1	hsa:5187
PFKFB3	hsa:5209
PFKP	hsa:5214
CDK14	hsa:5218
PGF	hsa:5228
PGM5	hsa:5239
PHF1	hsa:5252
SERPINE2	hsa:5270
SERPINB9	hsa:5272
PIK3C2B	hsa:5287
PIK3CB	hsa:5291
PIM1	hsa:5292
PIK3R1	hsa:5295
PITX2	hsa:5308
PLAG1	hsa:5324
PLAGL1	hsa:5325
PLCL1	hsa:5334
LRP1B	hsa:53353
ADAM22	hsa:53616
PLXNA2	hsa:5362
S1PR5	hsa:53637
PMAIP1	hsa:5366
PMP2	hsa:5375
FXYD5	hsa:53827
FGFRL1	hsa:53834
C11orf24	hsa:53838
SLCO1C1	hsa:53919
UBL3	hsa:5412
PODXL	hsa:5420
TERF2IP	hsa:54386
NLGN3	hsa:54413
RASSF4	hsa:54453
FAM134B	hsa:54463
POU2F2	hsa:5452
SDK2	hsa:54549
NECAB2	hsa:54550
SPATA6	hsa:54558
MXRA8	hsa:54587
PPA1	hsa:5464
PPARD	hsa:5467
EPDR1	hsa:54749
DIRAS2	hsa:54769
NDE1	hsa:54820
WBP1L	hsa:54838
GDPD2	hsa:54857
ELOVL2	hsa:54898
SSH3	hsa:54961
PPP1CB	hsa:5500
TMEM255A	hsa:55026
CCDC40	hsa:55036
TMEM45A	hsa:55076
ANO1	hsa:55107
SLC6A15	hsa:55117
NET1	hsa:55119
FIGN	hsa:55137
LRRC8D	hsa:55144
TMEM38B	hsa:55151
LGI2	hsa:55203
PPP2R2B	hsa:5521
ETNK2	hsa:55224
PPP2R5A	hsa:5525
CHDH	hsa:55349
STK32B	hsa:55351
PIDD	hsa:55367
CAMK2N1	hsa:55450
PRCP	hsa:5547
TNFRSF19	hsa:55504
H2AFY2	hsa:55506
SMPD3	hsa:55512
ASIC4	hsa:55515
MBP	hsa:5553
SVOP	hsa:55530
SOX6	hsa:55553
CDC42BPG	hsa:55561
DOCK10	hsa:55619
PKIA	hsa:5569
CCDC88A	hsa:55704
OGDHL	hsa:55753
PRKAR2B	hsa:5577
PRKCA	hsa:5578
CSGALNACT1	hsa:55790
MBNL3	hsa:55796
PRKCD	hsa:5580
TSNAXIP1	hsa:55815
RNF130	hsa:55819
PAG1	hsa:55824
PAK1	hsa:5585
TMEM165	hsa:55858
BEX1	hsa:55859
BEX2	hsa:55859
PBK	hsa:55872
NXT2	hsa:55916
FAM212B	hsa:55924
MYO5C	hsa:55930
BCAP29	hsa:55973
MAP2K3	hsa:5606
KLHL4	hsa:56062
PCDHB4	hsa:56131
PCDHA1	hsa:56147
DNAH7	hsa:56171
ANKH	hsa:56172
APC	hsa:5624
SERTAD4	hsa:56256
PROS1	hsa:5627
PROX1	hsa:5629
PRPH	hsa:5630
RELN	hsa:5649
DNAJC12	hsa:56521
CYP26B1	hsa:56603
PSD	hsa:5662
TMEM9B	hsa:56674
NRIP3	hsa:56675
CELF4	hsa:56853
FSTL5	hsa:56884
C8orf4	hsa:56892
DPYSL5	hsa:56896
OLFML3	hsa:56944
ADCK3	hsa:56997
PCBP4	hsa:57060
SLC17A6	hsa:57084
CD248	hsa:57124
PAK7	hsa:57144
SALL4	hsa:57167
ASPHD2	hsa:57168
PSPH	hsa:5723
PBXIP1	hsa:57326
ABHD6	hsa:57406
AS3MT	hsa:57412
NDRG2	hsa:57447
KIAA1161	hsa:57462
ARHGAP31	hsa:57514
SORCS2	hsa:57537
WDR35	hsa:57539
IGSF9	hsa:57549
STAMBPL1	hsa:57559
KIAA1377	hsa:57562
SIPA1L2	hsa:57568
DOCK6	hsa:57572
MARCH4	hsa:57574
PCDH10	hsa:57575
HN1L	hsa:57585
SYT13	hsa:57586
BEGAIN	hsa:57596
ISLR2	hsa:57611
STIM2	hsa:57620
KLHL1	hsa:57626
CCDC146	hsa:57639
PTN	hsa:5764
KIAA1522	hsa:57648
CAMSAP3	hsa:57662
VAT1L	hsa:57687
LRRC4C	hsa:57689
BAI3	hsa:577
PTPN1	hsa:5770
WDR19	hsa:57728
PTPN4	hsa:5775
FAM5B	hsa:57795
HES4	hsa:57801
DBC1	hsa:57805
