WDR45 hsa:11152 
WDR46 hsa:9277 
WDR89 hsa:112840 
WDR90 hsa:197335 
WNT7B hsa:7477 
WRAP73 hsa:49856 
WRN hsa:7486 
WWC2 hsa:80014 
XPOT hsa:11260 
XRCC3 hsa:7517 
XRCC4 hsa:7518 
YAP1 hsa:10413 
YES1 hsa:7525 
ZBTB14 hsa:7541 
ZCCHC8 hsa:55596 
ZCCHC9 hsa:84240 
ZDHHC12 hsa:84885 
ZDHHC6 hsa:64429 
ZFP36L2 hsa:678 
ZFPL1 hsa:7542 
ZGRF1 hsa:55345 
ZNF174 hsa:7727 
ZNF217 hsa:7764 
ZNF232 hsa:7775 
ZNF276 hsa:92822 
ZNF34 hsa:80778 
ZNF395 hsa:55893 
ZNF503 hsa:84858 
ZNF514 hsa:84874 
ZNF57 hsa:126295 
ZNF623 hsa:9831 
ZNF668 hsa:79759 
ZNF680 hsa:340252 
ZNF687 hsa:57592 
ZNF703 hsa:80139 
ZNF730 hsa:100129543 
ZNF736 hsa:728927 
ZNF85 hsa:7639 
ZNHIT1 hsa:10467 
ZSWIM3 hsa:140831 
ZSWIM7 hsa:125150 
